"Index","GSPC.Adjusted","AAA","DGS1","GSPC.Adjusted.1"
"1989-05-15",316.160004,9.57,8.85,0.00736513805537609
"1989-05-16",315.279999,9.57,8.9,-0.00278729749636053
"1989-05-17",317.480011,9.57,8.89,0.00695372915556103
"1989-05-18",317.970001,9.57,8.94,0.00154218298169795
"1989-05-19",321.23999,9.57,8.89,0.0102314343386638
"1989-05-22",321.980011,9.57,8.78,0.00230098978687288
"1989-05-23",318.320007,9.57,8.79,-0.0114322778686375
"1989-05-24",319.140015,9.57,8.85,0.00257273687447324
"1989-05-25",319.170013,9.57,8.94,9.39919434328473e-05
"1989-05-26",321.589996,9.57,8.92,0.00755351292877648
"1989-05-30",319.049988,9.57,8.88,-0.00792963715310968
"1989-05-31",320.519989,9.57,8.86,0.00459684988794251
"1989-06-01",321.970001,9.1,8.87,0.00451373401740618
"1989-06-02",325.519989,9.1,8.57,0.0109654932933028
"1989-06-05",322.029999,9.1,8.46,-0.0107791641002173
"1989-06-06",324.23999,9.1,8.48,0.00683924567757099
"1989-06-07",326.950012,9.1,8.39,0.00832333923144279
"1989-06-08",326.75,9.1,8.35,-0.000611938205812734
"1989-06-09",326.690002,9.1,8.32,-0.000183637365282152
"1989-06-12",326.23999,9.1,8.33,-0.00137843896518497
"1989-06-13",323.910004,9.1,8.45,-0.00716756439759614
"1989-06-14",323.829987,9.1,8.41,-0.000247065185162931
"1989-06-15",320.079987,9.1,8.49,-0.0116477226569724
"1989-06-16",321.350006,9.1,8.57,0.0039599665543939
"1989-06-19",321.890015,9.1,8.57,0.00167902838515399
"1989-06-20",321.25,9.1,8.52,-0.00199028266425039
"1989-06-21",320.480011,9.1,8.57,-0.00239972996840798
"1989-06-22",322.320007,9.1,8.58,0.00572495635961712
"1989-06-23",328,9.1,8.39,0.0174687457835052
"1989-06-26",326.600006,9.1,8.37,-0.00427740947668376
"1989-06-27",328.440002,9.1,8.35,0.00561798002252001
"1989-06-28",325.809998,9.1,8.35,-0.00803979569452107
"1989-06-29",319.679993,9.1,8.19,-0.0189939096721679
"1989-06-30",317.980011,9.1,8.12,-0.00533195124935837
"1989-07-03",319.230011,8.93,8.04,0.00392335826573031
"1989-07-05",320.640015,8.93,8,0.00440716465821822
"1989-07-06",321.549988,8.93,7.96,0.00283397002375452
"1989-07-07",324.910004,8.93,7.89,0.0103952179520039
"1989-07-10",327.070007,8.93,7.89,0.00662600345491615
"1989-07-11",328.779999,8.93,7.87,0.00521459437126026
"1989-07-12",329.809998,8.93,7.81,0.00312789396881286
"1989-07-13",329.950012,8.93,7.81,0.000424439189947279
"1989-07-14",331.839996,8.93,7.86,0.00571174878858383
"1989-07-17",332.440002,8.93,7.92,0.0018064857137885
"1989-07-18",331.350006,8.93,8.03,-0.00328416205897231
"1989-07-19",335.730011,8.93,7.96,0.0131320616204924
"1989-07-20",333.51001,8.93,7.88,-0.00663441836472778
"1989-07-21",335.899994,8.93,8.02,0.00714059885804641
"1989-07-24",333.670013,8.93,8.01,-0.00666095918793808
"1989-07-25",333.880005,8.93,7.92,0.000629142390126347
"1989-07-26",338.049988,8.93,7.91,0.0124121160810029
"1989-07-27",341.98999,8.93,7.77,0.0115876895894322
"1989-07-28",342.149994,8.93,7.69,0.000467752233927143
"1989-07-31",346.079987,8.93,7.65,0.0114207047788408
"1989-08-01",343.75,8.96,7.61,-0.00675527566039769
"1989-08-02",344.339996,8.96,7.63,0.00171488075111892
